"Date","Source","Site ID","POC","Daily Max 8-hour CO Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"05/04/2019","AQS","220710021","1","0.3","ppm","3","I-610","24","100.0000","42101","Carbon monoxide","35380","New Orleans-Metairie, LA","22","Louisiana","071","Orleans","29.996013","-90.11819"
"05/05/2019","AQS","220710021","1","0.3","ppm","3","I-610","24","100.0000","42101","Carbon monoxide","35380","New Orleans-Metairie, LA","22","Louisiana","071","Orleans","29.996013","-90.11819"
"05/06/2019","AQS","220710021","1","0.4","ppm","5","I-610","24","100.0000","42101","Carbon monoxide","35380","New Orleans-Metairie, LA","22","Louisiana","071","Orleans","29.996013","-90.11819"
"05/07/2019","AQS","220710021","1","0.4","ppm","5","I-610","24","100.0000","42101","Carbon monoxide","35380","New Orleans-Metairie, LA","22","Louisiana","071","Orleans","29.996013","-90.11819"
"05/08/2019","AQS","220710021","1","0.3","ppm","3","I-610","24","100.0000","42101","Carbon monoxide","35380","New Orleans-Metairie, LA","22","Louisiana","071","Orleans","29.996013","-90.11819"
"05/09/2019","AQS","220710021","1","0.2","ppm","2","I-610","24","100.0000","42101","Carbon monoxide","35380","New Orleans-Metairie, LA","22","Louisiana","071","Orleans","29.996013","-90.11819"
"05/10/2019","AQS","220710021","1","0.3","ppm","3","I-610","19","79.0000","42101","Carbon monoxide","35380","New Orleans-Metairie, LA","22","Louisiana","071","Orleans","29.996013","-90.11819"
"05/13/2019","AQS","220710021","1","0.2","ppm","2","I-610","3","13.0000","42101","Carbon monoxide","35380","New Orleans-Metairie, LA","22","Louisiana","071","Orleans","29.996013","-90.11819"
"05/14/2019","AQS","220710021","1","0.3","ppm","3","I-610","22","92.0000","42101","Carbon monoxide","35380","New Orleans-Metairie, LA","22","Louisiana","071","Orleans","29.996013","-90.11819"
"05/15/2019","AQS","220710021","1","0.5","ppm","6","I-610","24","100.0000","42101","Carbon monoxide","35380","New Orleans-Metairie, LA","22","Louisiana","071","Orleans","29.996013","-90.11819"
"05/16/2019","AQS","220710021","1","0.3","ppm","3","I-610","24","100.0000","42101","Carbon monoxide","35380","New Orleans-Metairie, LA","22","Louisiana","071","Orleans","29.996013","-90.11819"
"05/17/2019","AQS","220710021","1","0.4","ppm","5","I-610","24","100.0000","42101","Carbon monoxide","35380","New Orleans-Metairie, LA","22","Louisiana","071","Orleans","29.996013","-90.11819"
"05/18/2019","AQS","220710021","1","0.3","ppm","3","I-610","24","100.0000","42101","Carbon monoxide","35380","New Orleans-Metairie, LA","22","Louisiana","071","Orleans","29.996013","-90.11819"
"05/19/2019","AQS","220710021","1","0.3","ppm","3","I-610","24","100.0000","42101","Carbon monoxide","35380","New Orleans-Metairie, LA","22","Louisiana","071","Orleans","29.996013","-90.11819"
"05/20/2019","AQS","220710021","1","0.3","ppm","3","I-610","24","100.0000","42101","Carbon monoxide","35380","New Orleans-Metairie, LA","22","Louisiana","071","Orleans","29.996013","-90.11819"
"05/21/2019","AQS","220710021","1","0.3","ppm","3","I-610","24","100.0000","42101","Carbon monoxide","35380","New Orleans-Metairie, LA","22","Louisiana","071","Orleans","29.996013","-90.11819"
"05/22/2019","AQS","220710021","1","0.2","ppm","2","I-610","24","100.0000","42101","Carbon monoxide","35380","New Orleans-Metairie, LA","22","Louisiana","071","Orleans","29.996013","-90.11819"
"05/23/2019","AQS","220710021","1","0.3","ppm","3","I-610","24","100.0000","42101","Carbon monoxide","35380","New Orleans-Metairie, LA","22","Louisiana","071","Orleans","29.996013","-90.11819"
"05/24/2019","AQS","220710021","1","0.3","ppm","3","I-610","24","100.0000","42101","Carbon monoxide","35380","New Orleans-Metairie, LA","22","Louisiana","071","Orleans","29.996013","-90.11819"
"05/25/2019","AQS","220710021","1","0.3","ppm","3","I-610","24","100.0000","42101","Carbon monoxide","35380","New Orleans-Metairie, LA","22","Louisiana","071","Orleans","29.996013","-90.11819"
"05/26/2019","AQS","220710021","1","0.3","ppm","3","I-610","24","100.0000","42101","Carbon monoxide","35380","New Orleans-Metairie, LA","22","Louisiana","071","Orleans","29.996013","-90.11819"
"05/27/2019","AQS","220710021","1","0.3","ppm","3","I-610","24","100.0000","42101","Carbon monoxide","35380","New Orleans-Metairie, LA","22","Louisiana","071","Orleans","29.996013","-90.11819"
"05/28/2019","AQS","220710021","1","0.3","ppm","3","I-610","24","100.0000","42101","Carbon monoxide","35380","New Orleans-Metairie, LA","22","Louisiana","071","Orleans","29.996013","-90.11819"
"05/29/2019","AQS","220710021","1","0.3","ppm","3","I-610","24","100.0000","42101","Carbon monoxide","35380","New Orleans-Metairie, LA","22","Louisiana","071","Orleans","29.996013","-90.11819"
"05/30/2019","AQS","220710021","1","0.3","ppm","3","I-610","24","100.0000","42101","Carbon monoxide","35380","New Orleans-Metairie, LA","22","Louisiana","071","Orleans","29.996013","-90.11819"
"05/31/2019","AQS","220710021","1","0.3","ppm","3","I-610","24","100.0000","42101","Carbon monoxide","35380","New Orleans-Metairie, LA","22","Louisiana","071","Orleans","29.996013","-90.11819"
"06/01/2019","AQS","220710021","1","0.3","ppm","3","I-610","24","100.0000","42101","Carbon monoxide","35380","New Orleans-Metairie, LA","22","Louisiana","071","Orleans","29.996013","-90.11819"
"06/02/2019","AQS","220710021","1","0.3","ppm","3","I-610","24","100.0000","42101","Carbon monoxide","35380","New Orleans-Metairie, LA","22","Louisiana","071","Orleans","29.996013","-90.11819"
"06/03/2019","AQS","220710021","1","0.3","ppm","3","I-610","16","67.0000","42101","Carbon monoxide","35380","New Orleans-Metairie, LA","22","Louisiana","071","Orleans","29.996013","-90.11819"
