M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30,M31,M32,M33,M34,M35,M36,M37,M38,M39,M40,M41,M42,M43,M44,M45,M46,M47,M48,M49,M50,M51,M52,M53,M54,M55,M56
1.77514792899408,743.56,13.1993598310482,21.4,18.1,61.9708,3.85452746165265,24,3039,2758,4221,5033,7395,268,268,28,9,181827,37014,12855,46633,101050,3895,0,1736894,22446,0,0,180216,19773,3906,1076,2376,307,120,1639,151019,115817,4591,1801,2684,419,47362,7542,180216,43296,27582,26210,10018,180216,29197,60682,12428,16562301714.918,591877.434208039,1352
0,0,0,14.2,3.2,80.8925,2.2925411688731,0,98,244,333,243,519,638,121,4,2,6562,787,93,47039,9291,213,0,84488,1437,0,0,6709,5651,331,51,4,0,0,148,524,5989,350,60,4,0,158,148,6709,872,800,818,675,6709,6185,2782,762,3166514781.30078,248056.882469703,0
4.0948275862069,308.43,12.6297037337393,10,4.2,110.3849,9.59214501510574,19,3122,2728,4602,6373,8458,217,153,14,4,150439,14891,3169,62522,55608,5334,0,494252,25283,0,0,149699,136797,3520,407,928,7,295,2484,5261,141260,3553,449,930,10,762,2735,149699,26480,18471,17083,10452,149699,144438,62382,14831,2598731183.01563,334634.951640203,464
6.24692572552877,440.23,27.5005467628392,13.7,4,88.3781,8.0785828778102,127,11993,8977,12409,17684,23972,1490,1736,145,38,461809,61143,8826,59786,364965,29484,0,1811544,75035,21,12,464242,357879,50528,2274,17080,105,810,13308,22258,370976,52888,2389,17130,116,4765,15978,464242,81954,66630,61565,33379,464242,441984,179058,41656,3904280343.10938,315954.595914186,2033
2.09059233449477,128.41,2.68457576991396,11.5,3.1,96.1404,3.00111152278622,6,3028,2872,4897,7726,9436,343,293,41,9,223499,25416,3087,53381,2699,81,0,43017,27959,3,0,212230,149835,712,1415,1755,476,68,4612,53357,180454,715,2425,1839,497,18536,7764,212230,51876,30490,28017,10797,212230,158873,73888,17162,2984270768.76563,286188.150858656,287
0,71.79,0,12.9,5.9,81.0886,0,0,0,0,0,0,0,0,0,0,0,9750,1244,261,47153,0,0,0,84488,0,0,0,9635,9029,30,78,51,0,0,195,252,9211,62,86,51,0,20,205,9635,1789,1059,885,855,9635,9383,3794,1253,2548061527.25391,202908.030404708,7
0,29.1,0,22.3,6.6,71.5249,0,0,0,0,0,0,0,0,0,0,0,13746,2898,351,43367,0,0,0,855674,0,0,0,14057,10335,2771,21,166,0,0,267,497,10822,2776,21,166,0,0,272,14057,2217,2132,1191,1145,14057,13560,5759,1613,3311317555.10938,412649.085940342,4
1.47368421052632,1543.51,22.746474296484,17.4,6.7,87.1147,4.40674231574309,7,402,838,1166,1487,1765,90,47,6,2,30774,5054,714,43722,9077,400,0,182101,5658,1,0,31081,28632,1443,68,173,14,14,272,465,28825,1538,68,173,14,60,403,31081,5166,4152,3874,2406,31081,30616,12231,3252,1961808596.33594,304764.791143981,475
2.53365003958828,362.35,9.18073422921998,7.6,2.9,111.2039,3.18268776864022,32,5174,4488,7387,11702,18531,450,450,96,24,348556,26093,5379,80734,40249,1281,0,277491,47282,50,0,339447,211628,76417,931,11316,79,720,9446,28910,231715,77546,1072,11398,135,6587,10994,339447,66615,45684,40067,17049,339447,310537,139799,30233,1789540443.53125,282639.442125543,1263
10.5932203389831,353.69,37.4666546773372,14.7,4.4,82.6808,2.70062519216972,25,1282,1348,1611,2846,3593,149,149,42,7,66726,9584,1308,50131,58542,1581,0,855674,10680,8,1,66645,42414,14084,188,489,15,43,785,8627,49105,14084,246,489,15,1590,1116,66645,14051,8835,7842,4241,66645,58018,25237,6439,3346935936.625,303278.980407527,236
